授業科目名,担当教員,役職,単位数,必修・選択・自由,開講年次,開講学期,実務経験,備考,シラバスURL
American CultureⅠ,ゴーマン マイケル,教授,2,選択,Second year and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A2902.html
American CultureⅡ,ゴーマン マイケル,教授,2,選択,Second year and above,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A3002.html
American Literature and CultureⅠ,ゴーマン マイケル,教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51351901.html
American Literature and CultureⅡ,ゴーマン マイケル,教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51352001.html
Communication in EnglishⅠ,Marc Williams,非常勤講師,1,選択,3rd year students and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B3102.html
Communication in EnglishⅡ,Marc Williams,非常勤講師,1,選択,3rd year students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B3202.html
Contemporary Political Issues,秦野 貴光,講師,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C4801.html
Cross-cultural Language and Communication Ⅰ,カーソン ルーク,教授,2,選択,2nd year students and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B1601.html
Cross-cultural Language and Communication Ⅱ,カーソン ルーク,教授,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B1701.html
Cross-cultural Psychology and CommunicationⅠ,カーソン ルーク,教授,2,選択,Graduate Students,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51352301.html
Cross-cultural Psychology and CommunicationⅡ,カーソン ルーク,教授,2,選択,Graduate Students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51352401.html
East Asian Cultures and Societies,飯島 典子,准教授,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A6601.html
Exploring Japanese Society,湯浅 正恵,教授,2,選択,Exchange students and 3rd year students and above (a TOEIC score of at least 600 is required).,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A7101.html
Future StudiesⅠ,カーソン ルーク,教授,2,選択,Students with Advanced English ability. 2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A6801.html
Future StudiesⅡ,カーソン ルーク,教授,2,選択,Students with Advanced English ability. 3rd year students and above and exchange students,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A6901.html
Hiroshima and Atomic Bombing in Media,井上 泰浩,教授,2,選択,Any exchange students. Second year or above in International Studies.,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A6701.html
History of Japanese Politics and Diplomacy,武田 悠,准教授,2,選択,"2nd year students and above, and exchange students",後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C5801.html
International Business,アリフ アザム ヌルハイザル,准教授,2,選択,2nd year and above and exchange students,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114E2701.html
International Commerce,寺井 里沙,准教授,2,選択,1st year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114E2801.html
Introduction to Management,山﨑 雅夫,講師,2,選択,2nd year students and above,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114E2901.html
Learning ILIs,太田 育子,教授,2,選択,2nd year students and above,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C0401.html
Modern Japanese Studies,ヴェール ウルリケ,教授,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A3401.html
Peace and Conflict Studies,古澤 嘉朗,准教授,2,選択,2nd year students and above,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C6301.html
Peace and Conflict Studiesⅰ,古澤 嘉朗,准教授,1,選択,2nd year students and above,前期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C6001.html
Peace and Conflict Studiesⅱ,古澤 嘉朗,准教授,1,選択,2nd-year students and above,前期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C6101.html
Special Lecture in British and American LiteratureⅠ,ゴーマン マイケル,教授,2,選択,Third year and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B2702.html
Special Lecture in British and American LiteratureⅡ,ゴーマン マイケル,教授,2,選択,Third year and above,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B2802.html
Études de la société française,大場 静枝,教授,2,選択,３年次生（L3 et L4）,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D3701.html
「ヒロシマ」を考える,四條 知恵,准教授,2,選択,1・2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00180901.html
ひろしま論,渡辺 智恵,教授,2,選択,１・２年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00180101.html
アナログ素子・回路特論,福島 勝,准教授,2,選択,"1, 2 年次",後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68414401.html
アフリカ文化論,田川 玄,教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51342001.html
アフリカ研究Ⅰ,田川 玄,教授,2,選択,１年以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A4101.html
アフリカ社会論,田川 玄,教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51341901.html
アメリカ政治論ⅰ,長 史隆,講師,1,選択,２年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C5301.html
アメリカ政治論ⅱ,長 史隆,講師,1,選択,２年次,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C5401.html
アラビア語Ⅰ,田浪 亜央江,准教授,2,選択,1年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00220901.html
アラビア語Ⅱ,佐藤 道雄,非常勤講師,2,選択,1年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00221001.html
アラビア語Ⅲ,佐藤 道雄,非常勤講師,2,選択,2年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00222201.html
アラビア語Ⅳ,田浪 亜央江,准教授,2,選択,2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00222301.html
アーティスト・セルフマネージメント概論,菅 亮平,講師,2,選択,2・3年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30317201.html
アートマネージメント概論,石松 紀子,准教授,2,選択,２年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30313801.html
イギリスの文学と文化Ⅰ,原 雅樹,講師,2,選択,2年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B2001.html
イギリスの文学と文化Ⅱ,原 雅樹,講師,2,選択,2年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B2101.html
イギリス文化論Ⅰ,原 雅樹,講師,2,選択,2年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A2701.html
イギリス文化論Ⅱ,原 雅樹,講師,2,選択,2年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A2801.html
イギリス文学・文化論Ⅰ,原 雅樹,講師,2,選択,大学院1年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51351501.html
イギリス文学・文化論Ⅱ,原 雅樹,講師,2,選択,大学院1年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51351601.html
イタリア語Ⅰ,佐藤 りえこ,非常勤講師,2,選択,一年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00222401.html
イタリア語Ⅱ,佐藤 りえこ,非常勤講師,2,選択,１年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00222502.html
イタリア語Ⅲ,コンティ エマヌエレ,非常勤講師,2,選択,2年次以上,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00222601.html
イタリア語Ⅳ,コンティ エマヌエレ,非常勤講師,2,選択,2年次以上,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00222701.html
インターンシップⅠ,永山 忍,教授,2,選択,１・２年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_66420601.html
インターンシップⅠ,三村 和史,教授,2,選択,１・２年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_67420601.html
インターンシップⅠ,小野 貴彦,教授,2,選択,１、２年生,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68420601.html
インターンシップⅡ,永山 忍,教授,2,選択,１・２年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_66420701.html
インターンシップⅡ,三村 和史,教授,2,選択,１・２年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_67420701.html
インターンシップⅡ,小野 貴彦,教授,2,選択,１、２年生,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68420701.html
インテリジェント制御特論,小嵜 貴弘,教授,2,選択,１，２年,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68410301.html
エスニシティと宗教Ⅰ,田浪 亜央江,准教授,2,選択,2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A1101.html
エスニシティと宗教Ⅱ,田浪 亜央江,准教授,2,選択,3年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A1201.html
オペレーティングシステム,弘中 哲夫,教授,2,選択,２年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26431501.html
オペレーティングシステム,岩根 典之,准教授,2,選択,２年次以上,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27430701.html
オペレーティングシステム,中田 明夫,教授,2,選択,２年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28450501.html
オペレーティングシステム,弘中 哲夫,教授,2,選択,２年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_29491901.html
オートマトンと形式言語,松原 行宏,教授,2,必須,2年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27460101.html
キャリアサポートベーシック,西 正博,教授,1,選択,３年,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00200201.html
キャリアサポートベーシックＡ,西 正博,教授,1,選択,２，３年生（全学年）,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00200301.html
キャリアサポートベーシックＢ,西 正博,教授,1,選択,２，３年生,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00200401.html
キャリアデザインⅰ,井上 智生,教授,1,選択,1年次または2年次,前期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00200701.html
キャリアデザインⅱ,山﨑 雅夫,講師,1,選択,１年次,後期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00200801.html
グラフ理論,内田 智之,教授,2,選択,２年次以上,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27430101.html
グローバル・ガヴァナンス論,大芝 亮,教授,2,選択,修士課程１・２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81110201.html
グローバル・ガヴァナンス論特殊研究,大芝 亮,教授,2,選択,博士後期課程1，2，3年生,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_82110101.html
グローバル・ヒバクシャ,ロバート ジェイコブズ,教授,2,選択,"1st and 2nd year student, MA",後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81120501.html
グローバル・ヒバクシャ特殊研究,ロバート ジェイコブズ,教授,2,選択,Doctoral students,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_82110601.html
コンパイラ,岩根 典之,准教授,2,選択,３年次以上,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27431301.html
コンピュータアーキテクチャ,弘中 哲夫,教授,2,選択,２年（第4ターム）,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26431201.html
コンピュータアーキテクチャ特論,弘中 哲夫,教授,2,選択,１、２年生,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_66410601.html
コンピュータアーキテクチャ特論,弘中 哲夫,教授,2,選択,１、２年生,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_6A411501.html
コンピュータグラフィックス,脇田 航,准教授,2,選択,２年,後期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28430501.html
コンピュータグラフィックスⅠ,馬場 雅志,講師,2,選択,2年次,後期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26460201.html
コンピュータグラフィックスⅠ,馬場 雅志,講師,2,選択,2年次,後期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27430801.html
コンピュータグラフィックスⅡ,宮﨑 大輔,准教授,2,選択,３年次,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27450101.html
コンピュータグラフィックス特論,馬場 雅志,講師,2,選択,１、２年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_67411601.html
コンピュータシステム,川端 英之,准教授,2,選択,３年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26431401.html
コンピュータ基礎,その他 教員,助教,2,必須,１年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20410799.html
システムレベル設計検証特論,永山 忍,教授,2,選択,１、２年生,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_66412401.html
システム工学実験Ⅰ,双紙 正和,准教授,3,必須,３年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28431801.html
システム工学実験Ⅰ,双紙 正和,准教授,1.5,必須,３年,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28460501.html
システム工学実験Ⅱ,双紙 正和,准教授,3,必須,３年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28432501.html
システム工学実験Ⅱ,双紙 正和,准教授,1.5,必須,３年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28460601.html
システム工学実験Ⅲ,双紙 正和,准教授,1.5,必須,３年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28460701.html
システム工学実験Ⅳ,双紙 正和,准教授,1.5,必須,３年,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28460801.html
システム工学特別演習Ⅰ,小野 貴彦,教授,2,必須,１、２年生,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68420101.html
システム工学特別演習Ⅱ,小野 貴彦,教授,2,必須,１、２年生,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68420201.html
システム工学特別演習Ⅲ,小野 貴彦,教授,2,必須,１、２年生,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68420301.html
システム工学特別演習Ⅳ,小野 貴彦,教授,2,必須,１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68420401.html
システム推定学特論,小野 貴彦,教授,2,選択,１・２年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68410401.html
システム開発実践,式田 光宏,教授,2,選択,3年生,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20421901.html
ジェンダーとセクシュアリティ,ヴェール ウルリケ,教授,2,選択,２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A1301.html
ジェンダー論Ⅰ,ヴェール ウルリケ,教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51340701.html
ジェンダー論Ⅱ,ヴェール ウルリケ,教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51340801.html
ジャーナリズム論,梅原 季哉,教授,2,選択,博士前期課程１・２年,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81220501.html
スペイン語Ⅰ,吉江 貴文,准教授,2,選択,1年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00223401.html
スペイン語Ⅱ,吉江 貴文,准教授,2,選択,1年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00223501.html
スペイン語Ⅲ,川西 進,非常勤講師,2,選択,2年次以上,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00223601.html
スペイン語Ⅳ,川西 進,非常勤講師,2,選択,2年次以上,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00223701.html
スポーツ開発論,山平 芳美,講師,2,選択,2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D5001.html
センサシステム,八方 直久,准教授,2,選択,３年次以上,後期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26461301.html
ソフトウェア品質評価特論,島 和之,准教授,2,選択,１、２年,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68412901.html
ソフトウェア工学概説,原 章,教授,2,選択,３年次,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27433801.html
ソフトウエア工学概論,島 和之,准教授,2,選択,２年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28431001.html
ソフトコンピューティング,村田 佳洋,准教授,2,選択,３年次,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28431501.html
テクニカルコミュニケーション演習,八方 直久,准教授,1,必須,３年次以上,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26431701.html
テクニカルＲ＆Ｗ演習,永山 忍,教授,1,必須,3年生,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26432401.html
テクノロジーマネジメント,高橋 与志,非常勤講師,2,選択,3年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114E2501.html
テーマ研究（演習）,納島 正弘,教授,6,必須,３年次,年間授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_323D2501.html
ディジタル信号処理,馬場 雅志,講師,2,選択,２年次以上,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27431001.html
ディジタル信号処理,式田 光宏,教授,2,選択,3年,前期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_29430801.html
ディジタル無線通信,神尾 武司,准教授,2,選択,３年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28450401.html
デザイン工芸概論,中村 圭,准教授,2,選択,１年次、２年次、全学部,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00140601.html
デザイン概論,納島 正弘,教授,2,選択,１年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30314401.html
デザイン特講,吉田 幸弘,教授,2,選択,1・2年次,年間授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_74230701.html
デジタルデザイン,稲木 雅人,講師,2,選択,2年,後期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26430101.html
デジタル信号処理,高橋 賢,准教授,2,選択,3年次,後期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26430801.html
デッサン実習Ⅰ,荒木 亨子,准教授,2,必須,美術学科日本画専攻１年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31320501.html
デッサン実習Ⅰ,原 崇浩,講師,4,必須,１年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31334201.html
デッサン実習Ⅰ,友定 睦,助教,2,必須,美術学科彫刻専攻１年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31340401.html
デッサン実習Ⅱ,山浦 めぐみ,講師,2,必須,美術学科日本画専攻２年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31321001.html
デッサン実習Ⅱ,石黒 賢一郎,准教授,2,必須,２年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31330901.html
デッサン実習Ⅱ,友定 睦,助教,2,必須,美術学科彫刻専攻２年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31340801.html
デッサン実習Ⅲ,前田 力,教授,2,必須,美術学科日本画専攻３年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31321501.html
デッサン実習Ⅲ,石黒 賢一郎,准教授,2,必須,３年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31331401.html
デッサン実習Ⅲ,友定 睦,助教,2,必須,美術学科彫刻専攻３年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31341301.html
デッサン概論,原 崇浩,講師,2,選択,１年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00140101.html
データサイエンス,永山 忍,教授,2,選択,1・2年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00131401.html
データベース,黒木 進,准教授,2,選択,３年次,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26431101.html
データベース,田村 慶一,教授,2,選択,３年次,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27430901.html
データベース,田村 慶一,教授,2,選択,３年次,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28461101.html
データベース,田村 慶一,教授,2,選択,３年次,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_29460101.html
データマイニング,黒木 進,准教授,2,選択,３年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27440301.html
データ分析入門,山根 史博,准教授,2,選択,１年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_103K0701.html
データ構造とアルゴリズムⅠ,その他 教員,助教,2,必須,１年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20411499.html
データ構造とアルゴリズムⅡ,その他 教員,助教,2,選択,２年次,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20412499.html
トラフィック分析,高野 知佐,教授,2,選択,３年次以上,後期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26461401.html
ドイツ語Ⅰ,古川 昌文,非常勤講師,2,選択,1年生（国際学部）,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00220101.html
ドイツ語Ⅰ,古川 昌文,非常勤講師,2,選択,1年生（情報科学部・芸術学部対象）,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_002201JG.html
ドイツ語Ⅱ,古川 昌文,非常勤講師,2,選択,1年生（国際学部）,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00220201.html
ドイツ語Ⅱ,古川 昌文,非常勤講師,2,選択,1年生（情報科学部・芸術学部）,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_002202JG.html
ドイツ語Ⅲ,ヴェール ウルリケ,教授,2,選択,２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00221401.html
ドイツ語Ⅳ,ヴェール ウルリケ,教授,2,選択,２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00221501.html
ネットワークソフトウェア,大田 知行,教授,2,選択,３年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26450701.html
ネットワークソフトウエア特論,大田 知行,教授,2,選択,１，２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_66411201.html
ネットワークソフトウエア特論,大田 知行,教授,2,選択,１，２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_67411801.html
ネットワークプロトコル,石田 賢治,教授,2,選択,２年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26431601.html
ネットワーク基盤技術,稲村 勝樹,准教授,2,選択,3年,前期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26432301.html
ネットワーク設計,舟阪 淳一,准教授,2,選択,３年次以上,前期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26450101.html
ネットワーク設計演習,高野 知佐,教授,1,選択,３年次以上,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26450201.html
ハングルⅠ,北野 由佳,非常勤講師,2,選択,1年次（国際学部・芸術学部対象）,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00220701.html
ハングルⅠ,徳間 一芽,非常勤講師,2,選択,１年（情報科学部）,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00220702.html
